Design	Open	Objects	ScriptComponents	KUKAprcComponents	TargetPlanes	Commands	CoreGeometryItems	Warnings	Errors	Messages	Image
01_Ruled_Wave	True	26	0	4	33	33	73	0	0		G:\.shortcut-targets-by-id\1FZaaJMemGAhS0xBfsEdHIHr9VhP7LKAQ\09_Robot_Workshop\Projects\Hotwire\Tirth Work\Hotwire_Native_Algorithms\01_Ruled_Wave\01_Ruled_Wave_QA.png
02_Helical_Flute	True	22	0	4	65	1	73	0	0		G:\.shortcut-targets-by-id\1FZaaJMemGAhS0xBfsEdHIHr9VhP7LKAQ\09_Robot_Workshop\Projects\Hotwire\Tirth Work\Hotwire_Native_Algorithms\02_Helical_Flute\02_Helical_Flute_QA.png
03_Layered_Wave	True	28	0	5	93	93	73	0	0		G:\.shortcut-targets-by-id\1FZaaJMemGAhS0xBfsEdHIHr9VhP7LKAQ\09_Robot_Workshop\Projects\Hotwire\Tirth Work\Hotwire_Native_Algorithms\03_Layered_Wave\03_Layered_Wave_QA.png
04_Radial_Fan	True	28	0	5	77	77	73	0	0		G:\.shortcut-targets-by-id\1FZaaJMemGAhS0xBfsEdHIHr9VhP7LKAQ\09_Robot_Workshop\Projects\Hotwire\Tirth Work\Hotwire_Native_Algorithms\04_Radial_Fan\04_Radial_Fan_QA.png
05_Adaptive_Acoustic	True	25	0	5	121	121	73	0	0		G:\.shortcut-targets-by-id\1FZaaJMemGAhS0xBfsEdHIHr9VhP7LKAQ\09_Robot_Workshop\Projects\Hotwire\Tirth Work\Hotwire_Native_Algorithms\05_Adaptive_Acoustic\05_Adaptive_Acoustic_QA.png
